,X_i,Y_i,Z_i,X_f,Y_f,Z_f,Cu [%],Au [ppm],Ton [t],B [$]
90,55.0,105.0,20.0,70.0,115.0,45.0,1.7833619041856863,0.4067816537033428,22312.949999999997,2762815.08
91,55.0,105.0,25.0,70.0,115.0,50.0,1.9427510264430816,0.4545782342396769,22643.73,3108326.7800000003
92,55.0,105.0,30.0,70.0,115.0,55.0,1.9284881324934313,0.46396133648325844,22789.96,3099373.47
93,55.0,105.0,35.0,70.0,115.0,60.0,1.7660896312749732,0.4394379630365755,22766.83,2784642.58
94,55.0,105.0,40.0,70.0,115.0,65.0,1.4935951884834262,0.3867515716786557,22455.29,2231436.5300000003
95,55.0,105.0,45.0,70.0,115.0,70.0,1.279541511689042,0.3441439441962113,19419.47,1577884.02
96,55.0,110.0,5.0,70.0,120.0,30.0,0.4052122742836312,0.08615655454441566,20738.97,163759.92999999993
97,55.0,110.0,10.0,70.0,120.0,35.0,0.7037926132043913,0.15375133997810422,21045.119999999995,689386.4
98,55.0,110.0,15.0,70.0,120.0,40.0,1.0184253975843083,0.23054823001969885,21417.47,1266471.98
99,55.0,110.0,20.0,70.0,120.0,45.0,1.3096945927131394,0.3087488892259847,21820.37,1831297.25
100,55.0,110.0,25.0,70.0,120.0,50.0,1.549940592633595,0.379634672372942,22221.149999999998,2323117.07
101,55.0,110.0,30.0,70.0,120.0,55.0,1.6760573544452353,0.42674349127325883,22537.050000000003,2605579.17
102,55.0,110.0,35.0,70.0,120.0,60.0,1.6713490735802758,0.44668281374133934,22745.09,2627219.26
103,55.0,110.0,40.0,70.0,120.0,65.0,1.5567020933792137,0.4374292963317396,22592.18,2394499.62
104,55.0,110.0,45.0,70.0,120.0,70.0,1.4446546911748706,0.4201242865698717,19669.059999999998,1897450.0
105,55.0,115.0,10.0,70.0,125.0,35.0,0.40592552102212903,0.08480629043990043,20773.11,163606.76999999996
106,55.0,115.0,15.0,70.0,125.0,40.0,0.6573670254732388,0.14357419064149823,21040.12,606294.09
107,55.0,115.0,20.0,70.0,125.0,45.0,0.9031636345582609,0.20810427730091924,21350.379999999997,1058121.92
108,55.0,115.0,25.0,70.0,125.0,50.0,1.1192040109565797,0.2713309431143247,21685.6,1475550.52
109,55.0,115.0,30.0,70.0,125.0,55.0,1.281448768971087,0.325858737249538,21991.36,1805527.1400000001
110,55.0,115.0,35.0,70.0,125.0,60.0,1.384897892894092,0.3741801776095659,22289.339999999997,2037961.3599999999
111,55.0,115.0,40.0,70.0,125.0,65.0,1.389993494963307,0.3989704994342862,22290.42,2056791.2999999998
112,55.0,115.0,45.0,70.0,125.0,70.0,1.3284611747911244,0.39715893020312776,19502.019999999997,1697982.17
113,55.0,120.0,15.0,70.0,130.0,40.0,0.33427551847989806,0.0701230448383733,20714.399999999998,38546.859999999986
114,55.0,120.0,20.0,70.0,130.0,45.0,0.5122439451261827,0.11556526493478192,20923.64,350645.59
115,55.0,120.0,25.0,70.0,130.0,50.0,0.6769600214637179,0.1623468194822917,21170.61,647098.8900000001
116,55.0,120.0,30.0,70.0,130.0,55.0,0.8286824643354528,0.20654575327316155,21412.02,927067.74
117,55.0,120.0,35.0,70.0,130.0,60.0,0.9560513082997989,0.2530407995321847,21666.67,1177863.5
118,55.0,120.0,40.0,70.0,130.0,65.0,0.9998272839855508,0.282806846536309,21769.839999999997,1275290.19
119,55.0,120.0,45.0,70.0,130.0,70.0,0.9695759766643122,0.28628461571038905,19126.07,1073003.3900000001
120,55.0,125.0,25.0,70.0,135.0,50.0,0.3185755061528529,0.07609538126487625,20754.6,14756.879999999976
121,55.0,125.0,30.0,70.0,135.0,55.0,0.4150906168087971,0.1012055775675959,20895.129999999997,175563.19
122,55.0,125.0,35.0,70.0,135.0,60.0,0.5188094788241762,0.13251837402789265,21065.059999999998,359612.38999999996
123,55.0,125.0,40.0,70.0,135.0,65.0,0.5524845946382513,0.15044674018542478,21234.489999999998,426080.57999999996
124,55.0,125.0,45.0,70.0,135.0,70.0,0.5421528320834136,0.15406893254705897,18721.199999999997,358868.07
125,55.0,175.0,10.0,70.0,185.0,35.0,0.3253134548728773,0.05225535890633775,20657.199999999997,19520.109999999942
126,55.0,175.0,15.0,70.0,185.0,40.0,0.4630634117239521,0.07525810688580116,20784.8,249626.75999999995
127,55.0,175.0,20.0,70.0,185.0,45.0,0.5851230979266031,0.10002183983894795,20897.589999999997,459107.49
128,55.0,175.0,25.0,70.0,185.0,50.0,0.6664065145144936,0.12194067676617915,20975.929999999997,608781.23
129,55.0,175.0,30.0,70.0,185.0,55.0,0.6529071805355433,0.1274664147464823,20980.19,585418.6399999999
130,55.0,175.0,35.0,70.0,185.0,60.0,0.5967866745748365,0.12672883296122628,20957.229999999996,486150.77
131,55.0,175.0,40.0,70.0,185.0,65.0,0.5235380966498666,0.12400504480552395,20912.6,363877.83999999997
132,55.0,175.0,45.0,70.0,185.0,70.0,0.4399131951916708,0.11604403016175782,19051.94,200924.51
133,55.0,180.0,10.0,70.0,190.0,35.0,0.4915783461230253,0.0793751376851956,20790.18,299707.39999999997
134,55.0,180.0,15.0,70.0,190.0,40.0,0.7380052970440935,0.12216213027379164,21019.269999999997,722550.85
135,55.0,180.0,20.0,70.0,190.0,45.0,0.9512743680303877,0.16657154660036952,21229.659999999996,1103993.93
136,55.0,180.0,25.0,70.0,190.0,50.0,1.0994331836569469,0.20643439247373654,21392.819999999996,1387525.54
137,55.0,180.0,30.0,70.0,190.0,55.0,1.1121974315946486,0.22440527198993152,21453.0,1423616.45
138,55.0,180.0,35.0,70.0,190.0,60.0,1.0402210706619341,0.22800556535656477,21443.37,1300131.97
139,55.0,180.0,40.0,70.0,190.0,65.0,0.9160446480027542,0.22385213570942078,21377.44,1089765.5999999999
140,55.0,180.0,45.0,70.0,190.0,70.0,0.7631254055791206,0.20841901396119217,19416.679999999997,750547.51
141,55.0,185.0,10.0,70.0,195.0,35.0,0.4593009862441974,0.07535219120705254,20768.69,246686.28999999998
142,55.0,185.0,15.0,70.0,195.0,40.0,0.7589920558960925,0.13015097359802597,21053.35,765471.1799999999
143,55.0,185.0,20.0,70.0,195.0,45.0,1.0126835570885195,0.184820123712423,21326.879999999997,1227918.84
144,55.0,185.0,25.0,70.0,195.0,50.0,1.1910150473972134,0.23316053805000958,21551.899999999998,1570100.9
145,55.0,185.0,30.0,70.0,195.0,55.0,1.2541696709881878,0.26433580639585136,21693.75,1707620.32
146,55.0,185.0,35.0,70.0,195.0,60.0,1.2105862089276416,0.2747802326244895,21731.159999999996,1640651.57
147,55.0,185.0,40.0,70.0,195.0,65.0,1.0735259362174037,0.2678842165648519,21650.42,1401370.73
148,55.0,185.0,45.0,70.0,195.0,70.0,0.8810613849132908,0.2444772641201204,19618.989999999998,962755.06
149,55.0,190.0,15.0,70.0,200.0,40.0,0.553553722955135,0.09769333042969959,20939.28,402629.68999999994
150,55.0,190.0,20.0,70.0,200.0,45.0,0.7658706600122426,0.14559163412417056,21220.97,783001.02
151,55.0,190.0,25.0,70.0,200.0,50.0,0.9027163573080431,0.1827232521727927,21421.739999999998,1033843.74
152,55.0,190.0,30.0,70.0,200.0,55.0,0.969847356253166,0.20884621236438936,21558.039999999997,1168337.46
153,55.0,190.0,35.0,70.0,200.0,60.0,0.9549704179808318,0.21786336911935292,21604.339999999997,1151373.94
